Timestamp,GHI,DNI,DHI,Tamb,ModA,ModB,WS,WSgust,WD,RH,BP,Cleaning
2024-01-01,200.0,300.0,100.0,25,45.0,43.0,5.0,10.0,90,50,1012,Pre
2024-01-02,220.0,310.0,105.0,26,46.0,44.0,5.5,10.5,95,52,1013,Pre
2024-01-03,210.0,290.0,,24,,45.0,6.0,11.0,100,49,1011,Pre
2024-01-04,,305.0,110.0,23,44.0,,,10.8,85,55,1010,Pre
2024-01-05,250.0,315.0,120.0,27,47.0,46.0,5.8,,80,58,1014,Post
2024-01-06,260.0,,115.0,28,48.0,47.0,6.1,11.2,105,60,1015,Post
2024-01-07,270.0,320.0,125.0,29,49.0,48.0,5.9,11.5,110,62,1016,Post
2024-01-08,255.0,300.0,130.0,30,50.0,49.0,6.2,11.0,100,64,1017,Post
2024-01-09,,295.0,110.0,31,51.0,50.0,6.0,10.7,95,63,1013,Post
2024-01-10,230.0,310.0,105.0,28,50.0,51.0,5.7,10.9,90,61,1012,Post
